feed,title,link,published,summary,fetched_at
TechCrunch,Lunar Energy raises $232M to deploy home batteries that prop up the grid,https://techcrunch.com/2026/02/04/lunar-energy-raises-232m-to-deploy-home-batteries-that-prop-up-the-grid/,2026-02-04T17:56:40,"The startup has raised more than $500 million, to date, from investors to build a massive, distributed power plant supported by residential batteries.",2026-02-05T05:21:02.427708
TechCrunch,"Hackers publish personal information stolen during Harvard, UPenn data breaches",https://techcrunch.com/2026/02/04/hackers-publish-personal-information-stolen-during-harvard-upenn-data-breaches/,2026-02-04T17:56:37,"The prolific cybercrime group ShinyHunters took responsibility for hacking Harvard and the University of Pennsylvania, and published the stolen data on its extortion website.",2026-02-05T05:21:02.427708
ESPN News,"Wemby's minutes restriction, KAT's new offensive role, and more",https://www.espn.com/fantasy/basketball/story/_/id/47826863/fantasy-basketball-pickups-nba-trends-victor-wembanyama-karl-anthony-towns,2026-02-04T17:53:16,"A look around the league reveals the latest trends, from Victor Wembanyama's minute restriction to Karl-Anthony Towns' changing offensive role, and more.",2026-02-05T05:21:04.500991
ESPN News,From Harden and JJJ to Vucevic: Fantasy reaction to the latest NBA trades,https://www.espn.com/fantasy/basketball/story/_/id/47819039/fantasy-basketball-trade-deadline-reaction-2025-26-nba-upgrade-downgrade,2026-02-04T17:53:16,Andre Snellings and Eric Moody provide fantasy reactions as trades go down leading up to the trade deadline.,2026-02-05T05:21:04.500991
BBC World,German activist jailed in Hungary for attacks at Nazi rally,https://www.bbc.com/news/articles/clyn7wkgkp0o?at_medium=RSS&at_campaign=rss,2026-02-04T17:34:54,"Supporters have questioned whether the 25-year-old, who identifies as non-binary, could receive a fair trial in Hungary.",2026-02-05T05:21:00.591598
ESPN News,Soccer's newest superagent is doing things differently -- and he wants you to know it,https://www.espn.com/soccer/story/_/id/47735623/caicedo-huijsen-soccer-agent-ali-barat-making-transfer-waves,2026-02-04T17:00:59,Ali Barat is impossible to miss -- last summer's transfer window was dominated by his clients making big moves -- yet hard to track down. It's all part of his mystique.,2026-02-05T05:21:04.500991
TechCrunch,Roblox’s 4D creation feature is now available in open beta,https://techcrunch.com/2026/02/04/robloxs-4d-creation-feature-is-now-available-in-open-beta/,2026-02-04T17:00:00,Roblox's highly anticipated 4D creation feature has officially arrived in open beta.,2026-02-05T05:21:02.427708
CNBC Business,China ramps up threats over Panama Canal ruling that handed Trump a major victory,https://www.cnbc.com/2026/02/04/china-us-trump-panama-canal-court-ruling-ck-hutchison.html,2026-02-04T16:45:59,"The Panama Canal has been thrust into the middle of a power struggle between the U.S. and China, the world's two largest economies.",2026-02-05T05:21:03.379178
BBC World,"Boy, 14, stabbed art teacher because he had 'too much hatred', he tells police",https://www.bbc.com/news/articles/cx2k82d78jno?at_medium=RSS&at_campaign=rss,2026-02-04T16:44:30,"The teenager allegedly took a knife from his kitchen with the plan to attack the 60-year-old, the prosecutor says.",2026-02-05T05:21:00.591598
BBC World,Son of Norway's crown princess holds back tears giving evidence at rape trial,https://www.bbc.com/news/articles/c23rdxjjp4po?at_medium=RSS&at_campaign=rss,2026-02-04T16:00:39,Marius Borg Høiby gives evidence after the first woman he is alleged to have raped told the court she believed she had been drugged.,2026-02-05T05:21:00.591598
TechCrunch,ElevenLabs raises $500M from Sequoia at an $11 billion valuation,https://techcrunch.com/2026/02/04/elevenlabs-raises-500m-from-sequioia-at-a-11-billion-valuation/,2026-02-04T15:33:58,ElevenLabs' valuation has raised more than three times in the last 12 months.,2026-02-05T05:21:02.427708
CNBC Business,A surprising share of homeowners have high mortgage rates. Here's the breakdown,https://www.cnbc.com/2026/02/04/homeowner-mortgage-rates-breakdown.html,2026-02-04T15:11:16,About 20% of borrowers have mortgages with a rate over 6%.,2026-02-05T05:21:03.379178
CNBC Business,Fed pick: Tillis doubles down on Warsh blockade over concerns about central bank independence,https://www.cnbc.com/2026/02/04/fed-warsh-tillis-confirmation.html,2026-02-04T15:05:02,Sen. Thom Tillis told CNBC he is committed to blocking Kevin Warsh's confirmation as Fed chair unless the Trump administration ends its probe of Chair Powell.,2026-02-05T05:21:03.379178
TechCrunch,"After backlash, Adobe cancels Adobe Animate shutdown and puts app on ‘maintenance mode’",https://techcrunch.com/2026/02/04/after-backlash-adobe-cancels-adobe-animate-shutdown-and-puts-app-on-maintenance-mode/,2026-02-04T14:53:21,"Adobe's announcement about discontinuing Animate was met with incredulity, disappointment, and anger. The company has changed its tune.",2026-02-05T05:21:02.427708
ESPN News,Super Bowl LX expected to see highest ticket price since 2020,https://www.espn.com/nfl/story/_/id/47820271/tickets-super-bowl-lx-high-cost-seahawks-patriots-nfl,2026-02-04T14:48:11,Vivid Seats projects the crowd split in Santa Clara on Sunday will be a 61-39 advantage toward Seahawks fans.,2026-02-05T05:21:04.500991
ESPN News,The art of the pregame outfit and the stylist behind the NFL's crossover with fashion,https://www.espn.com/nfl/story/_/id/47781734/nfl-fashion-editor-kyle-smith-stylist-joe-burrow-pregame-outfits,2026-02-04T14:48:11,"From pregame style to fashion week, NFL fashion editor Kyle Smith helps players level up their style.",2026-02-05T05:21:04.500991
ESPN News,MMA pound-for-pound rankings: Mixed reaction to Volkanovski's rematch win,https://www.espn.com/mma/story/_/id/24067525/mma-pound-pound-rankings,2026-02-04T14:45:45,"After dominating Diego Lopes again, Alexander Volkanovski makes small rise in the ESPN P4P rankings.",2026-02-05T05:21:04.500991
ESPN News,"MMA divisional rankings: Benoit Saint Denis, Mauricio Ruffy rise at lightweight",https://www.espn.com/mma/story/_/id/21807736/mma-divisional-rankings-ufc-bellator-pfl-rankings-weight-class,2026-02-04T14:45:44,"Here's a look at every weight class to determine the best of the best in UFC, PFL and beyond.",2026-02-05T05:21:04.500991
ESPN News,"Transfer rumors, news: Arsenal eye Bayern midfielder Goretzka",https://www.espn.com/soccer/story/_/id/47823645/transfer-rumors-news-man-united-eye-palace-striker-mateta,2026-02-04T14:33:41,Could Arsenal improve their midfield by signing Leon Goretzka from Bayern Munich? Transfer Talk has the latest.,2026-02-05T05:21:04.500991
ESPN News,"Real Madrid's big transfer questions: What to do about Vini Jr., more",https://www.espn.com/soccer/story/_/id/47815213/real-madrid-big-transfer-questions-vini-jr-bellingham-paz-arbeloa,2026-02-04T14:33:41,"January transfer window was quiet, but there are plenty of issues for the club to address in the summer.",2026-02-05T05:21:04.500991
ESPN News,"A do-over of the 2025 NFL draft: Let's redraft the first 64 picks, with changes starting at No. 2",https://www.espn.com/nfl/story/_/id/47736817/2025-nfl-draft-redraft-64-new-picks-first-second-round-ward-shough-dart,2026-02-04T14:22:18,Abdul Carter to the Jets? Tyler Shough to the Browns? Emeka Egbuka to the 49ers? We repicked the first two rounds of last year's NFL draft.,2026-02-05T05:21:04.500991
ESPN News,Projecting Rounds 1-2 of the draft: Landing spots for 11 Senior Bowl standouts,https://www.espn.com/nfl/draft2026/story/_/id/47756543/2026-nfl-mock-draft-two-rounds-64-picks-matt-miller-senior-bowl,2026-02-04T14:22:18,Matt Miller goes two rounds deep in his latest mock. Which prospects rose after the Senior Bowl?,2026-02-05T05:21:04.500991
ESPN News,An epic Rookie of the Year race? 2026 predictions for MLB's top prospects,https://www.espn.com/mlb/story/_/id/47684236/top-100-mlb-prospects-2026-bold-predictions-kevin-mcgonigle-konnor-griffin-jj-wetherholt,2026-02-04T14:21:03,Which young players will do big things on the diamond in the year ahead? Our experts weigh in.,2026-02-05T05:21:04.500991
TechCrunch,Uber appoints new CFO as its AV plans accelerate,https://techcrunch.com/2026/02/04/uber-appoints-new-cfo-as-its-av-plans-accelerate/,2026-02-04T14:15:34,"Krishnamurthy has been at Uber for over six years, spending most of his tenure in the company in its investor relations division.",2026-02-05T05:21:02.427708
TechCrunch,SNAK Venture Partners raises $50M fund to back vertical marketplaces,https://techcrunch.com/2026/02/04/snak-venture-partners-raises-50m-fund-to-back-digitizing-marketplaces/,2026-02-04T14:00:00,"The firm has already invested in six companies, including BigRentals and Repackify, focused on equipment rental and packaging logistics, respectively.",2026-02-05T05:21:02.427708
BBC World,Leader of South Africa's second largest party to step down,https://www.bbc.com/news/articles/c5yvneqg1xxo?at_medium=RSS&at_campaign=rss,2026-02-04T13:47:03,The surprise move may threaten the stability of the coalition government of which the DA is a key partner.,2026-02-05T05:21:00.591598
BBC World,"Israeli strikes kill 20 in Gaza, hospitals say, after soldier wounded by gunfire",https://www.bbc.com/news/articles/cpqyg0g5r0po?at_medium=RSS&at_campaign=rss,2026-02-04T13:27:07,Hospitals say several children were among those killed in strikes that Israel's military says it launched after a gun attack on its troops.,2026-02-05T05:21:00.591598
BBC World,Greece blames smugglers over migrant deaths but early accounts have been questioned before,https://www.bbc.com/news/articles/c4g51n1jv79o?at_medium=RSS&at_campaign=rss,2026-02-04T13:22:02,"Greek officials were quick to blame smugglers, but experience tells us to be wary of instant and unequivocal explanations.",2026-02-05T05:21:00.591598
BBC World,Libyan prosecutors launch probe into killing of Gaddafi's son,https://www.bbc.com/news/articles/cp37g4xgkxdo?at_medium=RSS&at_campaign=rss,2026-02-04T12:40:06,"The 53-year-old, once widely seen as the second most powerful person in Libya, was killed by ""our unknown gunmen"".",2026-02-05T05:21:00.591598
BBC World,'Notorious Tanzanian drug trafficker' arrested during raid in Zambia,https://www.bbc.com/news/articles/c3948e28e0yo?at_medium=RSS&at_campaign=rss,2026-02-04T11:48:46,Ahmed Muharram is among several suspects arrested in a major crackdown on marijuana trafficking.,2026-02-05T05:21:00.591598
BBC World,Watch: Florida iguanas are 'cold stunned' and falling from trees,https://www.bbc.com/news/videos/c23rd925knxo?at_medium=RSS&at_campaign=rss,2026-02-04T01:21:33,"A rare cold snap across the state has made the reptiles immobile and ripe for capturing, says the state's wildlife agency.",2026-02-05T05:21:00.591598
BBC World,Why a beauty spot in South Africa could be about to run out of water,https://www.bbc.com/news/articles/cy8pleg24rvo?at_medium=RSS&at_campaign=rss,2026-02-04T00:41:49,Official estimates suggest that around 55% of the town's drinkable water is lost to leaking pipes.,2026-02-05T05:21:00.591598
BBC World,'Never imagined this': Indian village grapples with interfaith couple's killing,https://www.bbc.com/news/articles/c0jvy09dvw9o?at_medium=RSS&at_campaign=rss,2026-02-04T00:32:53,"Police say they were beaten to death, allegedly by the woman's three brothers, who have been arrested.",2026-02-05T05:21:00.591598
BBC World,Gazans returning through Rafah crossing describe checks by Palestinian militia,https://www.bbc.com/news/articles/cy4g3rne4n7o?at_medium=RSS&at_campaign=rss,2026-02-03T18:31:44,One Palestinian woman said members of the Israel-linked militia searched them and their belongings at an Israeli checkpoint inside Gaza.,2026-02-05T05:21:00.591598
BBC World,BBC on the front line with Colombia's war on drugs,https://www.bbc.com/news/videos/cp9jg1kr9pjo?at_medium=RSS&at_campaign=rss,2026-02-03T17:08:05,"BBC Senior international correspondent Orla Guerin joined a special operation over Colombia's cocaine heartland, tasked with destroying crude cocaine labs hidden deep in the jungle.",2026-02-05T05:21:00.591598
ESPN News,Stevenson claims No. 1 spot in new division,https://www.espn.com/boxing/story/_/id/21675272/divisional-rankings-best-top-10-fighters-per-division,2026-02-03T14:42:29,Shakur Stevenson is the top-ranked fighter in two divisions following a dominant win over Teofimo Lopez Jr. Here are the latest ESPN divisional rankings.,2026-02-05T05:21:04.500991
BBC World,Hope and uncertainty as India and US strike long-delayed trade deal,https://www.bbc.com/news/articles/cpwnlwj80p8o?at_medium=RSS&at_campaign=rss,2026-02-03T06:29:43,"Indian industry has welcomed lower tariffs, but experts caution against celebration until details are clearer.",2026-02-05T05:21:00.591598
BBC World,Watch: Why is no-one being prosecuted over the Epstein files?,https://www.bbc.com/news/videos/cd9e3nzzw3zo?at_medium=RSS&at_campaign=rss,2026-02-03T01:45:52,Gary O'Donoghue looks at why no prosecutions have yet come from the release of millions of documents.,2026-02-05T05:21:00.591598
BBC World,Shanties in a Lagos lagoon: Bulldozed and burnt,https://www.bbc.com/news/articles/ce3epxznyzzo?at_medium=RSS&at_campaign=rss,2026-02-03T00:13:23,"Residents suspect the demolitions are aimed at gentrifying the waterfront in Nigeria's biggest city, but officials deny this.",2026-02-05T05:21:00.591598
BBC World,'Enemy' insults and questioning Putin: Steve Rosenberg on tightrope of reporting from Russia,https://www.bbc.com/news/articles/c20g25w8j0xo?at_medium=RSS&at_campaign=rss,2026-02-02T06:00:30,The BBC's Russia editor reflects on the difficulties of working as a British journalist in Moscow.,2026-02-05T05:21:00.591598
BBC World,Syria's only female minister pushes for change: 'I'm not here for window dressing',https://www.bbc.com/news/articles/cj0n3j16p8lo?at_medium=RSS&at_campaign=rss,2026-02-02T00:28:13,"The BBC's Lyse Doucet follows Hind Kabawat as she confronts the challenges of fragmented, post-Assad Syria.",2026-02-05T05:21:00.591598
BBC World,Starbucks bets on robots to brew a turnaround in customers,https://www.bbc.com/news/articles/cew8qzdxnnjo?at_medium=RSS&at_campaign=rss,2026-02-02T00:11:06,Chief executive Brian Niccol explains why he thinks AI will help the coffee giant regain its buzz.,2026-02-05T05:21:00.591598
CNN Top,The haunting Masters meltdown that changed Rory McIlroy's career,https://www.cnn.com/2023/04/03/golf/rory-mcilroy-masters-meltdown-2011-spt-spc-intl/index.html,2024-04-09T15:25:18,"Slumped on his club, head buried in his arm, Rory McIlroy looked on the verge of tears.",2026-02-05T05:21:01.741862
CNN Top,Scientists film deepest ever fish on seabed off Japan,https://www.cnn.com/2023/04/03/asia/deepest-fish-filmed-off-japan-scn-intl-hnk/index.html,2023-04-18T15:32:03,"Cruising at a depth of 8,336 meters (over 27,000 feet) just above the seabed, a young snailfish has become the deepest fish ever filmed by scientists during a probe into the abyss of the northern Pacific Ocean.",2026-02-05T05:21:01.741862
CNN Top,See the world's deepest fish,https://www.cnn.com/videos/travel/2023/04/03/snailfish-deepest-fish-on-camera-lon-orig-ao-cprog-scn.cnn,2023-04-12T09:01:12,"Scientists captured the unknown snailfish species at a depth of more than 27,000 feet, as part of an expedition in trenches off Japan.",2026-02-05T05:21:01.741862
CNN Top,The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short,https://www.cnn.com/style/article/beauty-skincare-climate/index.html,2023-04-06T20:09:14,"The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.",2026-02-05T05:21:01.741862
CNN Top,What to know about the Trump indictment on the eve of his court appearance,https://www.cnn.com/collections/intl-trump-040223/,2023-04-05T22:50:06,,2026-02-05T05:21:01.741862
CNN Top,Haberman reveals why Trump attacked judge and his family in speech,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn,2023-04-05T13:30:09,CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.,2026-02-05T05:21:01.741862
CNN Top,"Syrian refugee elected mayor of German town, years after fleeing war",https://www.cnn.com/2023/04/04/europe/germany-mayor-syrian-refugee-intl/index.html,2023-04-04T19:41:56,A Syrian who arrived in Germany as a refugee in 2015 has won a mayoral election in the southwestern German state of Baden-Württemberg.,2026-02-05T05:21:01.741862
CNN Top,"Kwame Brathwaite, photographer of 'Black is Beautiful' movement, dies at 85",https://www.cnn.com/style/article/kwame-brathwaite-obituary-tan/index.html,2023-04-04T18:54:41,"Kwame Brathwaite, the pioneering activist and photographer whose work helped define the aesthetics of the ""Black is Beautiful"" movement of the 1960s and beyond, died on April 1, aged 85.",2026-02-05T05:21:01.741862
CNN Top,Britain's pound is beating every other major currency this year,https://www.cnn.com/2023/04/04/investing/british-pound-currency-dollar/index.html,2023-04-04T18:49:31,"The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.",2026-02-05T05:21:01.741862
CNN Top,The four astronauts NASA picked for the first crewed moon mission in 50 years,https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html,2023-04-04T11:44:30,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.",2026-02-05T05:21:01.741862
CNN Top,These are the animals people most want to see photographed,https://www.cnn.com/travel/article/new-big-5-wildlife-photography-book-c2e-scn-spc-intl/index.html,2023-04-04T10:38:46,"Originally a term used by trophy hunters in Africa, the ""Big Five"" described the animals most challenging to shoot and kill: the lion, elephant, leopard, rhino, and buffalo. Nowadays, it is more loosely used to refer to some of Africa's largest and most iconic animals.",2026-02-05T05:21:01.741862
CNN Top,2023 March Madness: Will UConn or San Diego State triumph in the national championship game that 'means everything?',https://www.cnn.com/2023/04/03/sport/march-madness-championship-game-final-preview-spt-intl/index.html,2023-04-04T10:13:13,After a March Madness filled with twists and surprises -- all four No. 1 seeds failed to reach the Elite Eight for the first ever time in NCAA men's basketball tournament history -- it is time for the grand finale as UConn faces San Diego State on Monday for the title.,2026-02-05T05:21:01.741862
CNN Top,Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html,2023-04-04T07:49:53,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,2026-02-05T05:21:01.741862
CNN Top,Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,https://www.cnn.com/2023/04/03/tech/china-micron-probe-us-chip-war-intl-hnk/index.html,2023-04-04T03:17:15,"China has launched a cybersecurity probe into Micron Technology, one of America's largest memory chip makers, in apparent retaliation after US allies in Asia and Europe announced new restrictions on the sale of key technology to Beijing.",2026-02-05T05:21:01.741862
CNN Top,What OPEC's surprise oil cut means for gas prices,https://www.cnn.com/2023/04/03/energy/gas-prices-opec/index.html,2023-04-04T01:48:26,OPEC and its allies' surprise move to slash oil production will soon be felt at US gas pumps.,2026-02-05T05:21:01.741862
CNN Top,Video shows moment of deadly explosion at cafe in Russia,https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn,2023-04-04T01:08:44,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.",2026-02-05T05:21:01.741862
CNN Top,Dogecoin jumps after Elon Musk replaces Twitter bird with Shiba Inu,https://www.cnn.com/2023/04/03/investing/dogecoin-elon-musk-twitter/index.html,2023-04-03T20:48:03,"Twitter's traditional bird icon was booted and replaced with an image of a Shiba Inu, an apparent nod to dogecoin, the joke cryptocurrency that CEO Elon Musk is being sued over.",2026-02-05T05:21:01.741862
CNN Top,Musk's Twitter promised a purge of blue check marks. Instead he singled out the New York Times,https://www.cnn.com/2023/04/03/tech/twitter-blue-checks/index.html,2023-04-03T20:06:03,"Some VIP Twitter users woke up on Saturday expecting to have lost their coveted blue verification check marks in a previously announced purge by Elon Musk. Instead, Twitter appeared to target a single account from a major publication Musk dislikes and changed the language on its site in a way that obscures why users are verified.",2026-02-05T05:21:01.741862
CNN Top,A new approach to a Covid-19 nasal vaccine shows early promise,https://www.cnn.com/2023/04/03/health/nasal-vaccine-sterilizing-immunity/index.html,2023-04-03T19:04:07,"Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.",2026-02-05T05:21:01.741862
CNN Top,Angel Reese defends gesture directed towards Caitlin Clark after LSU national title win; calls out double standard after being 'unapologetically' her,https://www.cnn.com/2023/04/03/sport/angel-reese-gesture-caitlin-clark-lsu-iowa-spt-intl/index.html,2023-04-03T18:34:35,"LSU star Angel Reese defended the gesture she aimed at Iowa Hawkeyes' Caitlin Clark near the end of the Tigers' first NCAA women's basketball national championship victory on Sunday, saying ""I don't take disrespect lightly.""",2026-02-05T05:21:01.741862
CNN Top,"Study finds slightly higher risk of autism diagnosis in areas with more lithium in drinking water, but experts say more research is needed",https://www.cnn.com/2023/04/03/health/autism-lithium-study/index.html,2023-04-03T18:22:12,"A new study found a moderately higher risk of autism spectrum disorder in children born to pregnant people exposed to tap water with higher levels of lithium, but experts caution that this association does not show a direct link between the two.",2026-02-05T05:21:01.741862
CNN Top,"Israeli military veterans, a backbone of protest movement, vow to keep demonstrating",https://www.cnn.com/2023/04/03/middleeast/israel-protests-military-veterans-intl-cmd/index.html,2023-04-03T17:22:51,"In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.",2026-02-05T05:21:01.741862
CNN Top,Shania Twain calls for equal pay and more diversity in country music,https://www.cnn.com/2023/04/03/entertainment/shania-twain-equal-diversity/index.html,2023-04-03T16:29:08,Shania Twian is standing up for others in country music.,2026-02-05T05:21:01.741862
CNN Top,What pet cemeteries reveal about being human,https://www.cnn.com/2023/04/03/opinions/pet-cemeteries-burying-animals-history-tourigny/index.html,2023-04-03T15:03:47,Why do we bury our departed loved ones in a cemetery? A primary purpose is to provide survivors with an opportunity to grieve and gain a sense of closure. The cemetery is a place for the living as much as it is a place for the dead.,2026-02-05T05:21:01.741862
CNN Top,Erdogan's political fate may be determined by Turkey's Kurds,https://www.cnn.com/2023/04/03/middleeast/kurdish-kingmaker-turkish-elections-mime-intl/index.html,2023-04-03T14:54:00,"Turkey's persecuted pro-Kurdish party has emerged as a kingmaker in the country's upcoming election, playing a decisive role that may just tip the balance enough to unseat two-decade ruler Recep Tayyip Erdogan.",2026-02-05T05:21:01.741862
CNN Top,Chelsea searches for new manager as Premier League breaks record for most sackings in a single season,https://www.cnn.com/2023/04/03/football/chelsea-graham-potter-manager-premier-league-spt-intl/index.html,2023-04-03T14:46:53,"It was just six months ago that Graham Potter was deemed the man to usher in a fresh, exciting era at Chelsea.",2026-02-05T05:21:01.741862
CNN Top,"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says",https://www.cnn.com/collections/intl-ukraine-030423/,2023-04-03T13:58:58,,2026-02-05T05:21:01.741862
CNN Top,Suspected Chinese spy balloon was able to transmit information back to Beijing,https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html,2023-04-03T13:38:22,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.",2026-02-05T05:21:01.741862
CNN Top,This boiled bag of offal is banned in the US. In Scotland it's a fine-dining treat,https://www.cnn.com/travel/article/haggis-scotland-secrets/index.html,2023-04-03T12:43:16,"Anthony Bourdain loved haggis. But even the late, great American chef, writer and television host recognized that Scotland's national dish, with its ""sinister sheep parts"" wrapped in a shroud of mystery and half-invented history, could be a hard sell.",2026-02-05T05:21:01.741862
CNN Top,HSBC's top execs face tense shareholders calling for a breakup,https://www.cnn.com/2023/04/03/business/hsbc-spin-off-hk-shareholder-meeting-intl-hnk/index.html,2023-04-03T12:31:48,"HSBC's top brass defended their strategy Monday to frustrated shareholders in the lender's largest market, as Europe's biggest bank continued to face calls to be split up.",2026-02-05T05:21:01.741862
CNN Top,Giving Marjorie Taylor Greene a platform isn't good for America,https://www.cnn.com/2023/04/03/opinions/60-minutes-marjorie-taylor-greene-interview-obeidallah/index.html,2023-04-03T12:26:59,"Last year, GOP Rep. Marjorie Taylor Greene of Georgia spoke at a white nationalist event organized by Holocaust denier Nick Fuentes that caused Republican leaders to denounce her.",2026-02-05T05:21:01.741862
CNN Top,Teenage swimmer breaks two world records in four days,https://www.cnn.com/2023/04/03/sport/summer-mcintosh-world-record-canada-swimmer-spt-intl/index.html,2023-04-03T12:17:19,Sixteen-year-old Summer McIntosh broke the world record for the 400m individual medley at the Canadian swimming trials on Saturday -- just days after breaking the world record for the 400m freestyle.,2026-02-05T05:21:01.741862
CNN Top,"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn,2023-04-03T12:13:24,"A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.",2026-02-05T05:21:01.741862
CNN Top,French minister under fire for Playboy magazine cover,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html,2023-04-03T11:54:59,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,2026-02-05T05:21:01.741862
CNN Top,"China Renaissance suspends trading, delays results after founder's disappearance",https://www.cnn.com/2023/04/03/investing/china-renaissance-delays-results-missing-ceo-intl-hnk/index.html,2023-04-03T11:42:19,"China Renaissance, a top dealmaker in the country's tech industry, said it would suspend trading of its shares and delay the release of its annual results because it still can't get in touch with its founder.",2026-02-05T05:21:01.741862
CNN Top,CEOs are tired of being held responsible for gun regulation,https://www.cnn.com/2023/04/03/investing/premarket-stocks-trading/index.html,2023-04-03T11:19:35,"Americans have grown used to corporate executives treading the well-worn paths of the Northeast corridor to convene alongside elected officials in Washington, DC, and discuss geopolitics, policy and all that's in-between.",2026-02-05T05:21:01.741862
CNN Top,Some fans whistle as Lionel Messi's name is announced as Paris Saint-Germain's season hits new low,https://www.cnn.com/2023/04/03/football/lionel-messi-psg-whistles-fans-spt-intl/index.html,2023-04-03T11:02:06,Paris Saint-Germain's miserable season went from bad to worse on Sunday as the team suffered a second straight home defeat with a 1-0 loss to Lyon.,2026-02-05T05:21:01.741862
CNN Top,Finland's Prime Minister Sanna Marin concedes election,https://www.cnn.com/2023/04/02/europe/sanna-marin-finland-elections-concedes-intl/index.html,2023-04-03T10:24:55,Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,2026-02-05T05:21:01.741862
CNN Top,Video shows moment man throws yogurt on two women in Iran,https://www.cnn.com/videos/world/2023/04/03/man-throws-yogurt-on-women-iran-president-raisi-hijab-is-law-nada-bashir-ovn-intl-ldn-vpx.cnn,2023-04-03T10:17:00,"Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.",2026-02-05T05:21:01.741862
CNN Top,Why did Finland's PM lose? Reporter explains the key issue voters cared about,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn,2023-04-03T10:06:11,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,2026-02-05T05:21:01.741862
CNN Top,Emma Heming Willis shares family photos as daughter Mabel turns 11,https://www.cnn.com/2023/04/03/entertainment/emma-willis-mabel-birthday-photos-intl-scli/index.html,2023-04-03T09:34:27,"Bruce Willis' wife, Emma Heming Willis, has celebrated their elder daughter's birthday with a trip down memory lane.",2026-02-05T05:21:01.741862
CNN Top,Lawmaker speaks out about his struggle with depression,https://www.cnn.com/videos/politics/2023/04/02/john-fetterman-depression-downward-spiral-acostanr-sot-vpx.cnn,2023-04-02T23:11:47,Sen. John Fetterman (D-PA) spoke to CBS about battling with depression after winning a tight election.,2026-02-05T05:21:01.741862
