feed,title,link,published,summary,fetched_at
CNBC Business,"China's Xi reasserts Taiwan stance in call with Trump, while U.S. president pushes trade",https://www.cnbc.com/2026/02/05/chinas-xi-taiwan-trump-trade-talks-iran-russia.html,2026-02-05T03:21:40,Beijing stressed Taiwan is the most important issue while Trump highlights the trade aspects of the bilateral relations.,2026-02-05T05:21:03.379178
BBC World,Doctor who treated Bondi Junction mass killer referred to health regulator,https://www.bbc.com/news/articles/cy7mrx6ne1po?at_medium=RSS&at_campaign=rss,2026-02-05T03:12:05,A coroner has found Joel Cauchi's doctor failed to heed warnings he was having a relapse of schizophrenia.,2026-02-05T05:21:00.591598
BBC World,Gunmen kill dozens in Nigeria as US military deployment confirmed,https://www.bbc.com/news/articles/ckgvllk3lx9o?at_medium=RSS&at_campaign=rss,2026-02-05T02:47:14,"Shops and homes were torched in an attack on two villages in the western state of Kwara, a lawmaker says.",2026-02-05T05:21:00.591598
BBC World,"US must be prudent when supplying arms to Taiwan, Xi tells Trump",https://www.bbc.com/news/articles/c62wpjd3j1zo?at_medium=RSS&at_campaign=rss,2026-02-05T01:15:14,Wednesday's call comes in the wake of a flurry of visits by Western leaders to China in recent months.,2026-02-05T05:21:00.591598
CNBC Business,Alphabet's strong quarter eases fears about the search giant's sky-high spending,https://www.cnbc.com/2026/02/04/alphabets-strong-quarter-eases-fears-about-the-search-giants-sky-high-spending.html,2026-02-05T01:11:29,The Street is taking a doubling in capital expenditures in stride.,2026-02-05T05:21:03.379178
BBC World,Growing calls in India to restrict children's social media use,https://www.bbc.com/news/articles/c9qpr37d84qo?at_medium=RSS&at_campaign=rss,2026-02-05T00:50:54,Some Indian states have said they are examining Australia's law curbing social media for children.,2026-02-05T05:21:00.591598
CNBC Business,Alphabet resets the bar for AI infrastructure spending,https://www.cnbc.com/2026/02/04/alphabet-resets-the-bar-for-ai-infrastructure-spending.html,2026-02-05T00:49:59,The search giant's proposed capex spend for 2026 exceeds that of its hyperscalers peers.,2026-02-05T05:21:03.379178
TechCrunch,Sam Altman got exceptionally testy over Claude Super Bowl ads,https://techcrunch.com/2026/02/04/sam-altman-got-exceptionally-testy-over-claude-super-bowl-ads/,2026-02-05T00:45:11,"He posted a novella-sized rant that devolved into to calling his rival ""dishonest"" and ""authoritarian.""",2026-02-05T05:21:02.427708
CNBC Business,Software experiencing 'most exciting moment' as AI fears hammer the stocks,https://www.cnbc.com/2026/02/04/software-experiencing-most-exciting-moment-as-ai-fears-hammer-stocks.html,2026-02-05T00:41:21,"Shares of software companies have been getting beaten up, and the selloff accelerated this week after Anthropic's latest unveiling.",2026-02-05T05:21:03.379178
CNBC Business,"Trump says he'll stay out of Netflix, Paramount Skydance fight to take over WBD",https://www.cnbc.com/2026/02/04/trump-wbd-netflix-paramount-skydance.html,2026-02-05T00:39:05,"Trump in December said he would be involved in the review of whether Netflix should be allowed to buy parts of Warner Bros. Discover, as WBD leadership wants.",2026-02-05T05:21:03.379178
